 FIC_MIS_DATE , V_INSTRUMENT_CODE , V_INSTRUMENT_POSITION , V_CCY_CODE , V_CCY2_CODE , N_DELTA_GIRR_1ST_CCY_0.25YEAR , N_DELTA_GIRR_1ST_CCY_0.5YEAR , N_DELTA_GIRR_1ST_CCY_1YEAR , N_DELTA_GIRR_1ST_CCY_2YEAR , N_DELTA_GIRR_1ST_CCY_3YEAR ,N_DELTA_GIRR_1ST_CCY_5YEAR,N_DELTA_GIRR_1ST_CCY_10YEAR,N_DELTA_GIRR_1ST_CCY_15YEAR,N_DELTA_GIRR_1ST_CCY_20YEAR,N_DELTA_GIRR_1ST_CCY_30YEAR,N_DELTA_GIRR_2ND_CCY_0.25YEAR,N_DELTA_GIRR_2ND_CCY_0.5YEAR,N_DELTA_GIRR_2ND_CCY_1YEAR,N_DELTA_GIRR_2ND_CCY_2YEAR,N_DELTA_GIRR_2ND_CCY_3YEAR,N_DELTA_GIRR_2ND_CCY_5YEAR,N_DELTA_GIRR_2ND_CCY_10YEAR,N_DELTA_GIRR_2ND_CCY_15YEAR,N_DELTA_GIRR_2ND_CCY_20YEAR,N_DELTA_GIRR_2ND_CCY_30YEAR,N_VEGA_GIRR_1ST_CCY_0.5YEAR,N_VEGA_GIRR_1ST_CCY_1YEAR,N_VEGA_GIRR_1ST_CCY_3YEAR,N_VEGA_GIRR_1ST_CCY_5YEAR,N_VEGA_GIRR_1ST_CCY_10YEAR,N_VEGA_GIRR_2ND_CCY_0.5YEAR,N_VEGA_GIRR_2ND_CCY_1YEAR,N_VEGA_GIRR_2ND_CCY_3YEAR,N_VEGA_GIRR_2ND_CCY_5YEAR,N_VEGA_GIRR_2ND_CCY_10YEAR,N_CURVATURE_GIRR_1ST_CCY,N_CURVATURE_GIRR_2ND_CCY
12/31/2021, IRS399330126 ,, EUR , USD ,"  (18,03)","  (65,08)","  (247,33)","  (567,11)","  (1.412,68)","-77188,13343","-110246,0151",0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS233250637 ,, EUR , USD ,"  (26,99)","  (95,94)","  (382,66)","  (872,24)","  (71.403,09)","-70289,60463",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, CCS768096133 ,, EUR , USD ,"  (1,18)","  (4,27)","  (16,96)","  (38,67)","  (96,45)","-343,9460653","-132,0979239",0,0,0,"0,000138347923","4,188628634","14,63779721","33,09226073","81,51732199","290,6151012","117,535055",0,0,0,,,,,,,,,,,,
12/31/2021, CCS561670611 ,, GBP , USD ,"  (0,00)","  (8,21)","  (28,83)","  (65,61)","  (163,28)","-182,993557","-0,0000000007275957614","-0,0000000007275957614","-0,0000000007275957614","-0,0000000007275957614","-0,0001092263119","-7,599831846","-26,55876365","-60,04247256","-147,9047203","-164,37684","-0,0000000007275957614","-0,0000000007275957614","-0,0000000007275957614","-0,0000000007275957614",,,,,,,,,,,,
12/31/2021, CCS931854092 ,, AUD , USD ,"  1,62 ","  5,59 ","  22,19 ","  49,82 ","  97,36 ","24,18288833","0,00000008476490621","0,00000008476490621","0,00000008476490621","0,00000008476490621","0,0001040418283","10,81551322","37,79644894","85,44796234","187,1434071","60,4499367","-0,000000001818989404","-0,000000001818989404","-0,000000001818989404","-0,000000001818989404",,,,,,,,,,,,
12/31/2021, IRS307262619 ,, AUD , USD ,"  (21,25)","  (74,23)","  (294,61)","  (661,36)","  (1.608,14)","-104359,4201","-150484,1044","-0,00000001164153218","-0,00000001164153218","-0,00000001164153218",,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS686490893 ,, USD ,,"  9,02 ","  38,04 ","  147,87 ","  334,53 ","  48.110,65 ",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS682313805 ,, USD ,,"  0,07 ","  152,90 ","  567,00 ","  1.272,57 ","  3.134,69 ","68744,75134","233636,712",0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS545554400 ,, GBP , USD ,"  31,36 ","  111,63 ","  444,66 ","  1.012,32 ","  2.516,45 ","10454,30322","258932,8663",0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, CCS821810096 ,, EUR , USD ,"  (3,60)","  (12,50)","  (50,14)","  (114,25)","  (83,14)","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","3,251046904","11,70292346","46,27903479","104,711256","89,2808298","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885",,,,,,,,,,,,
