FIC_MIS_DATE,V_CCY_CODE,V_CURVATURE_GIRR_PNL,V_CURVATURE_GIRR_UP,V_CURVATURE_GIRR_DOWN,V_CURVATURE_FX_PNL,V_CURVATURE_FX_UP,V_CURVATURE_FX_DOWN
12/31/2021,USD,"-24435,60246","-29375,91902","-19420,78513",,,
12/31/2021,EUR,"-24763,74533","-23926,03159","-25571,13586",,,
12/31/2021,GBP,"-22916,132","-22890,25641","-22941,41845",,,
12/31/2021,AUD,0,0,0,,,
12/31/2021,JPY,"32278,52982","32294,53236","32262,90667",,,
12/31/2021,EUR/USD,,,,"425815,1416","-1176569,556","3648797,71"
12/31/2021,GBP/USD,,,,"-22916,132","-302682,4134","-0,005274194797"
12/31/2021,AUD/USD,,,,0,0,0
12/31/2021,JPY/USD,,,,"32278,52982","49,30962389","221072,2453"
